qubits	depth	max_operand	time
9	35	1	0.002283006
9	35	1	0.009879635
9	35	1	0.007165728
9	35	2	0.032492621
9	35	2	0.067329437
9	35	2	0.045572688
9	35	2	0.051947471
9	35	2	0.052457819
9	35	3	0.057460273
9	35	3	0.050460395
9	35	3	0.055419587
9	35	3	0.050200889
9	35	3	0.05525784
9	35	4	0.076780349
9	35	4	0.059539827
9	35	4	0.044446903
9	35	4	0.054522522
9	35	4	0.037294681
9	50	1	0.003574121
9	50	1	0.002552659
9	50	1	0.002385794
9	50	1	0.002652836
9	50	1	0.002339191
9	50	2	0.042221952
9	50	2	0.061949651
9	50	2	0.053763709
9	50	2	0.071482315
9	50	2	0.05310495
9	50	3	0.06292469
9	50	3	0.069920519
9	50	3	0.050362475
9	50	3	0.061588965
9	50	3	0.058825713
9	50	4	0.069566575
9	50	4	0.049318145
9	50	4	0.063898384
9	50	4	0.054911798
9	50	4	0.069878698
10	5	1	0.003416897
10	5	1	0.002577088
10	5	1	0.003208378
10	5	1	0.004109919
10	5	1	0.003233108
10	5	2	0.042297051
10	5	2	0.047611558
10	5	2	0.044678642
10	5	2	0.041924245
10	5	2	0.041080495
10	5	3	0.051418311
10	5	3	0.03670289
10	5	3	0.047041531
10	5	3	0.043575054
10	5	3	0.044539511
10	5	4	0.043388094
10	5	4	0.048610236
10	5	4	0.045979656
10	5	4	0.050348858
10	5	4	0.042577516
10	20	1	0.00707201
10	20	1	0.006060574
10	20	1	0.00509482
10	20	1	0.003415206
10	20	1	0.003619271
10	20	2	0.052262507
10	20	2	0.067887204
10	20	2	0.060755183
10	20	2	0.065510925
10	20	2	0.062948766
10	20	3	0.070154123
10	20	3	0.055463595
10	20	3	0.059018338
10	20	3	0.053926554
10	20	3	0.066718761
10	20	4	0.06970679
10	20	4	0.070801258
10	20	4	0.0469743
10	20	4	0.066347143
10	20	4	0.073331875
10	35	1	0.002490363
10	35	1	0.011379537
10	35	1	0.003207179
10	35	1	0.002910253
10	35	1	0.002790001
10	35	2	0.056035823
10	35	2	0.086264293
10	35	2	0.087406226
10	35	2	0.082481828
10	35	2	0.085198634
10	35	3	0.076070089
10	35	3	0.082980096
10	35	3	0.102673322
10	35	3	0.086299173
10	35	3	0.088460754
10	35	4	0.082483527
10	35	4	0.097963905
10	35	4	0.088396295
10	35	4	0.087918614
10	35	4	0.073670243
10	50	1	0.00266451
10	50	1	0.002591442
10	50	1	0.002325317
10	50	1	0.002780212
10	50	1	0.006341105
10	50	2	0.10307033
10	50	2	0.104589882
10	50	2	0.102604876
10	50	2	0.074408738
10	50	2	0.097673708
10	50	3	0.092742279
10	50	3	0.094202396
10	50	3	0.104337679
10	50	3	0.095913422
10	50	3	0.098316676
10	50	4	0.107796505
10	50	4	0.117756482
10	50	4	0.115100266
10	50	4	0.0968053
10	50	4	0.104914988
11	5	1	0.00358109
11	5	1	0.005177043
11	5	1	0.002797863
11	5	1	0.00632318
11	5	1	0.004067694
11	5	2	0.053383407
11	5	2	0.050149014
11	5	2	0.05211249
11	5	2	0.054833379
11	5	2	0.053935146
11	5	3	0.03265972
11	5	3	0.052048409
11	5	3	0.048846702
11	5	3	0.051470404
11	5	3	0.05211093
11	5	4	0.053945055
11	5	4	0.041231338
11	5	4	0.056276668
11	5	4	0.054231093
11	5	4	0.03723315
11	20	1	0.010184857
11	20	1	0.007134191
11	20	1	0.005214853
11	20	1	0.003279307
11	20	1	0.005314445
11	20	2	0.067351275
11	20	2	0.085592324
11	20	2	0.080150773
11	20	2	0.07311642
11	20	2	0.093836568
11	20	3	0.083873326
11	20	3	0.080292485
11	20	3	0.081853503
11	20	3	0.106952944
11	20	3	0.073611271
11	20	4	0.13765347
11	20	4	0.094601018
11	20	4	0.080437184
11	20	4	0.114485653
11	20	4	0.080167812
11	35	1	0.004308288
11	35	1	0.003594649
11	35	1	0.002648604
11	35	1	0.006244853
11	35	1	0.002649807
11	35	2	0.107187641
11	35	2	0.123211485
11	35	2	0.122353037
11	35	2	0.124265236
11	35	2	0.178649847
11	35	3	0.136954761
11	35	3	0.19142191
11	35	3	0.151648328
11	35	3	0.117206449
11	35	3	0.128830516
11	35	4	0.160151889
11	35	4	0.139848221
